date,temperature,humidity,luminosity
49:04.1,23.3,31.9,164
49:06.4,23.3,32.4,153
49:08.7,23.3,31.6,250
49:11.0,23.3,30.5,208
49:13.2,23.3,29.9,207
49:15.5,23.3,29.2,175
49:17.8,23.3,28.7,265
49:20.1,23.3,28.4,250
49:22.3,23.3,28.1,254
49:24.6,23.3,27.7,252
49:26.9,23.3,27.5,265
49:29.2,23.3,27.2,263
49:31.4,23.3,27,267
49:33.7,23.3,26.9,267
49:36.0,23.3,26.7,267
49:38.3,23.2,26.6,267
49:40.5,23.3,26.6,269
49:42.8,23.3,26.6,267
49:45.1,23.3,26.4,267
49:47.4,23.3,26.4,269
49:49.6,23.2,26.2,265
49:51.9,23.3,26.3,265
49:54.2,23.3,26.4,265
49:56.5,23.3,26.4,269
49:58.8,23.2,26.3,265
50:01.0,23.2,26.4,267
50:03.3,23.2,26.4,265
50:05.6,23.2,26.3,265
50:07.9,23.2,26.2,265
50:10.1,23.2,26.2,269
50:12.4,23.2,26.2,269
50:14.7,23.2,26.3,267
50:17.0,23.2,26.3,265
50:19.2,23.2,26.3,267
50:21.5,23.2,26.3,267
50:23.8,23.2,26.4,269
50:26.1,23.2,26.4,267
50:28.3,23.2,26.5,269
50:30.6,23.2,26.5,269
50:32.9,23.1,26.5,269
50:35.2,23.1,26.5,269
50:37.4,23.1,26.5,269
50:39.7,23.1,26.5,269
50:42.0,23.1,26.6,271
50:44.3,23.1,26.6,269
50:46.6,23.1,26.6,269
50:48.8,23.1,26.6,243
50:51.1,23.1,26.6,263
50:53.4,23.1,26.6,267
50:55.7,23.1,26.6,256
50:57.9,23,27.1,254
51:00.2,23.1,27.4,254
51:02.5,23,27.2,263
51:04.8,23,27.1,263
51:07.0,23,27,261
51:09.3,23,26.9,265
51:11.6,23,26.8,263
51:13.9,23,26.8,263
51:16.1,23,26.7,263
51:18.4,23,26.6,263
51:20.7,23,26.6,265
51:23.0,23,26.6,263
51:25.3,23,26.6,265
51:27.5,23,26.5,265
51:29.8,23,26.5,265
51:32.1,23,26.5,261
51:34.4,23,26.8,263
51:36.6,23,27,260
51:38.9,23,27.1,263
51:41.2,23,27.1,263
51:43.5,23,27,265
51:45.7,23,27,267
52:59.7,22.9,26.7,243
53:02.0,23,26.7,261
53:04.3,22.9,26.7,260
53:06.6,22.9,26.7,261
53:08.8,22.9,26.7,263
53:11.1,22.9,26.7,256
53:13.4,22.9,26.7,263
53:15.7,22.9,26.7,265
53:18.0,22.9,26.8,263
53:20.2,22.9,26.8,265
53:22.5,22.9,26.8,254
53:24.8,22.9,26.8,263
53:27.1,22.9,26.8,265
53:29.3,22.9,26.8,267
53:31.6,22.9,26.8,267
53:33.9,22.9,26.8,269
53:36.2,22.9,27,267
53:38.4,22.9,27.3,267
53:40.7,22.9,27.2,267
53:43.0,22.9,27.2,261
53:45.3,22.9,27.1,240
53:47.5,22.8,27,265
53:49.8,22.9,27.1,265
53:52.1,22.8,27,263
53:54.4,22.8,27,263
53:56.7,22.8,27,263
53:58.9,22.8,27,263
54:01.2,22.8,27,261
54:03.5,22.8,27,261
54:05.8,22.8,27,261
54:08.0,22.8,27,263
54:10.3,22.8,27,260
54:12.6,22.8,27,260
54:14.9,22.8,27,260
54:17.1,22.8,27,260
54:19.4,22.8,27,261
54:21.7,22.8,27,261
54:24.0,22.8,27,260
54:26.2,22.8,27.2,260
54:28.5,22.8,27.5,261
54:30.8,22.8,27.7,261
54:33.1,22.8,27.8,260
54:35.3,22.8,27.8,261
54:37.6,22.8,27.8,261
54:39.9,22.8,28.1,261
54:42.2,22.8,28.1,261
54:44.5,22.8,28,261
54:46.7,22.8,28,265
54:49.0,22.8,27.9,261
54:51.3,22.8,27.8,263
54:53.6,22.8,27.7,263
54:55.8,22.8,27.6,263
54:58.1,22.7,27.5,263
55:00.4,22.8,27.4,261
55:02.7,22.8,27.4,261
55:04.9,22.8,27.3,234
55:07.2,22.8,27.3,263
55:09.5,22.8,27.3,261
55:11.8,22.8,27.3,258
55:14.0,22.8,27.3,263
55:16.3,22.8,27.3,263
55:18.6,22.8,27.3,265
55:20.9,22.8,27.3,265
55:23.1,22.8,27.2,265
55:25.4,22.8,27.2,263
55:27.7,22.8,27.2,265
55:30.0,22.8,27.2,263
55:32.3,22.8,27.2,263
55:34.5,22.8,27.1,263
55:36.8,22.8,27.1,263
55:39.1,22.8,27,263
55:41.4,22.8,27,265
55:43.6,22.8,27,265
55:45.9,22.8,27,263
55:48.2,22.8,27,265
55:50.5,22.8,27,265
55:52.7,22.8,27.1,263
55:55.0,22.8,27.1,267
55:57.3,22.8,27.1,265
55:59.6,22.8,27.1,261
56:01.8,22.8,27.1,260
56:04.1,22.8,27.1,261
56:06.4,22.8,27,261
56:08.7,22.8,27.1,261
56:10.9,22.8,27.1,263
56:13.2,22.8,27.2,263
56:15.5,22.8,27.2,260
56:17.8,22.8,27.2,265
56:20.1,22.8,27.1,261
56:22.3,22.8,27,260
56:24.6,22.8,27.3,261
56:26.9,22.8,27.6,256
56:29.2,22.8,27.7,263
56:31.4,22.9,27.7,267
56:33.7,22.9,27.5,265
56:36.0,22.9,27.3,258
56:38.3,22.8,27.2,267
56:40.5,22.8,27.1,261
56:42.8,22.8,27.1,229
56:45.1,22.8,27.1,250
56:47.4,22.8,27,261
56:49.6,22.9,27.1,265
56:51.9,22.8,27,267
56:54.2,22.8,27,267
56:56.5,22.8,26.9,263
56:58.8,22.8,26.9,267
57:01.0,22.8,26.9,265
57:03.3,22.8,26.9,267
57:05.6,22.8,26.9,265
57:07.9,22.8,26.8,265
57:10.1,22.8,26.7,265
57:12.4,22.8,26.6,267
57:14.7,22.8,26.6,265
57:17.0,22.8,26.5,265
57:19.2,22.8,26.4,265
57:21.5,22.8,26.4,263
57:23.8,22.8,26.4,265
57:26.1,22.8,26.4,267
57:28.3,22.8,26.4,269
57:30.6,22.8,26.5,267
57:32.9,22.8,26.5,267
57:35.2,22.8,26.5,267
57:37.5,22.8,26.4,265
57:39.7,22.8,26.4,263
57:42.0,22.8,26.4,258
57:44.3,22.8,26.3,256
57:46.6,22.8,26.4,256
57:48.8,22.8,26.8,249
57:51.1,22.8,26.8,252
57:53.4,22.8,26.8,256
57:55.7,22.8,26.8,256
57:57.9,22.8,26.8,254
58:00.2,22.8,26.8,252
58:02.5,22.8,26.7,237
58:04.8,22.8,26.5,234
58:07.0,22.8,26.5,235
58:09.3,22.8,26.4,235
58:11.6,22.8,26.4,237
58:13.9,22.8,26.4,237
58:16.1,22.8,26.4,258
58:18.4,22.8,26.5,258
58:20.7,22.8,27.1,256
58:23.0,22.8,27.3,258
58:25.3,22.8,27.2,256
58:27.5,22.8,27.1,247
58:29.8,22.8,27.1,256
58:32.1,22.8,27,256
58:34.4,22.8,26.9,256
58:36.6,22.8,26.8,256
58:38.9,22.8,26.8,254
58:41.2,22.8,26.7,242
58:43.5,22.8,26.7,256
58:45.7,22.8,26.7,250
58:48.0,22.8,26.7,254
58:50.3,22.8,26.6,247
58:52.6,22.8,26.6,247
58:54.8,22.8,26.6,243
58:57.1,22.8,26.6,222
58:59.4,22.8,26.6,227
59:01.7,22.8,26.6,217
59:03.9,22.8,26.7,249
59:06.2,22.8,26.9,232
59:08.5,22.8,27.5,235
59:10.8,22.8,27.9,240
59:13.1,22.8,27.7,238
59:15.3,22.8,27.5,238
59:17.6,22.7,27.4,237
59:19.9,22.8,27.2,237
59:22.2,22.8,27.1,237
59:24.4,22.8,27.1,237
59:26.7,22.8,27,237
59:29.0,22.7,26.9,242
59:31.3,22.7,26.9,237
59:33.5,22.7,26.8,240
59:35.8,22.8,26.7,256
59:38.1,22.7,26.7,258
59:40.4,22.7,26.7,260
59:42.6,22.7,26.7,260
59:44.9,22.7,26.8,258
59:47.2,22.7,26.8,254
59:49.5,22.7,26.8,258
59:51.7,22.7,26.9,258
59:54.0,22.7,27.3,258
59:56.3,22.7,27.6,254
59:58.6,22.7,27.8,256
00:00.9,22.7,27.7,258
00:03.1,22.7,27.5,86
00:05.4,22.7,27.4,86
00:07.7,22.7,27.2,86
00:10.0,22.7,27.1,86
00:12.2,22.7,27,81
00:14.5,22.7,26.8,79
00:16.8,22.7,26.9,79
00:19.1,22.7,27.2,80
00:21.3,22.7,27,78
00:23.6,22.7,26.6,79
00:25.9,22.7,26.3,79
00:28.2,22.7,26.1,79
00:30.4,22.7,25.9,79
00:32.7,22.7,25.7,79
00:35.0,22.7,25.6,78
00:37.3,22.7,25.5,79
00:39.6,22.7,25.5,78
00:41.8,22.7,25.5,79
00:44.1,22.7,25.6,79
00:46.4,22.7,25.7,79
00:48.7,22.7,25.8,78
00:50.9,22.7,25.8,79
00:53.2,22.7,26.4,79
00:55.5,22.7,27.4,80
00:57.8,22.7,27.6,79
01:00.0,22.7,27.4,78
01:02.3,22.7,27.1,79
01:04.6,22.7,26.9,79
01:06.9,22.7,26.8,78
01:09.1,22.7,26.6,78
01:11.4,22.7,26.6,78
01:13.7,22.7,26.6,78
01:16.0,22.7,26.6,78
01:18.3,22.7,26.4,78
01:20.5,22.7,26.3,78
01:22.8,22.7,26.1,80
01:25.1,22.7,26.1,80
01:27.4,22.7,25.9,79
01:29.6,22.7,25.8,80
01:31.9,22.7,25.8,81
01:34.2,22.7,25.7,77
01:36.5,22.7,25.8,82
01:38.7,22.7,25.9,82
01:41.0,22.7,26.8,80
01:43.3,22.7,26.8,81
01:45.6,22.7,26.8,82
01:47.8,22.7,26.7,81
01:50.1,22.7,26.7,80
01:52.4,22.7,26.6,75
01:54.7,22.7,26.4,77
01:56.9,22.7,26.4,78
01:59.2,22.7,26.6,74
02:01.5,22.7,26.4,72
02:03.8,22.7,26.5,70
02:06.0,22.7,26.3,73
02:08.3,22.7,26.2,77
02:10.6,22.7,26.1,69
02:12.9,22.7,26,70
02:15.2,22.7,25.9,70
02:17.4,22.7,26,73
02:19.7,22.7,25.9,72
02:22.0,22.7,25.9,73
02:24.3,22.8,26.6,72
02:26.5,22.8,26.8,72
02:28.8,22.8,26.9,74
02:31.1,22.8,27,70
02:33.4,22.8,26.9,72
02:35.6,22.8,26.7,71
02:37.9,22.8,26.8,84
02:40.2,22.8,27.8,86
02:42.5,22.9,28.3,87
02:44.7,22.9,28.1,87
02:47.0,22.9,27.7,89
02:49.3,22.8,27.4,87
02:51.6,22.9,27.2,73
02:53.9,22.9,27,74
02:56.1,22.9,26.8,82
02:58.4,22.9,26.8,84
03:00.7,22.9,27.2,85
03:03.0,22.9,27.5,85
03:05.2,22.9,27.4,86
03:07.5,22.9,27.2,86
03:09.8,22.9,27,86
03:12.1,22.9,26.8,86
03:14.3,22.9,26.6,86
03:16.6,22.9,26.6,86
03:18.9,22.8,26.4,84
03:21.2,22.8,26.5,82
03:23.4,22.9,26.6,85
03:25.7,22.9,26.4,84
03:28.0,22.8,26.3,84
03:30.3,22.9,26.3,84
03:32.5,22.9,26.2,88
03:34.8,22.8,26.1,86
03:37.1,22.8,26.1,86
03:39.4,22.8,26,88
03:41.7,22.8,26,87
03:43.9,22.8,26,87
03:46.2,22.8,26,89
03:48.5,22.8,26,89
03:50.8,22.8,26,89
03:53.0,22.8,26,87
03:55.3,22.9,26.1,83
03:57.6,22.8,26.1,85
03:59.9,22.8,26.1,84
04:02.1,22.9,26.2,86
04:04.4,22.8,26.2,93
04:06.7,22.8,26.4,92
04:09.0,22.8,26.4,90
04:11.2,22.8,26.4,92
04:13.5,22.8,26.4,91
04:15.8,22.8,26.4,92
04:18.1,22.8,26.4,92
04:20.3,22.8,26.4,92
04:22.6,22.8,26.4,91
04:24.9,22.8,26.4,92
04:27.2,22.7,26.3,92
04:29.5,22.8,26.4,91
04:31.7,22.8,26.5,92
04:34.0,22.7,26.7,92
04:36.3,22.7,27,92
04:38.6,22.7,26.9,92
04:40.8,22.7,26.8,91
04:43.1,22.7,26.7,91
04:45.4,22.7,26.7,90
04:47.7,22.7,26.6,90
04:49.9,22.7,26.6,85
04:52.2,22.7,26.6,90
04:54.5,22.7,26.6,90
04:56.8,22.7,26.6,90
04:59.0,22.7,26.5,91
05:01.3,22.7,26.5,91
05:03.6,22.7,26.4,90
05:05.9,22.7,26.4,91
05:08.1,22.7,26.4,90
05:10.4,22.7,26.4,90
05:12.7,22.7,26.4,90
05:15.0,22.7,26.4,91
05:17.3,22.7,26.3,91
05:19.5,22.7,26.3,91
05:21.8,22.7,26.3,88
05:24.1,22.7,26.3,88
05:26.4,22.7,26.3,87
05:28.6,22.7,26.3,87
05:30.9,22.7,26.4,87
05:33.2,22.6,26.3,87
05:35.5,22.6,26.4,87
05:37.7,22.6,26.4,87
05:40.0,22.7,26.4,87
05:42.3,22.6,26.4,87
05:44.6,22.6,26.4,88
05:46.8,22.6,26.4,88
05:49.1,22.7,26.5,88
05:51.4,22.6,26.4,89
05:53.7,22.6,26.4,89
05:55.9,22.6,26.4,88
05:58.2,22.6,26.4,89
06:00.5,22.7,26.4,89
06:02.8,22.7,26.4,84
06:05.1,22.6,26.3,90
06:07.3,22.6,26.3,89
06:09.6,22.6,26.3,89
06:11.9,22.6,26.3,90
06:14.2,22.6,26.4,90
06:16.4,22.6,26.3,89
06:18.7,22.7,26.4,89
06:21.0,22.6,26.4,87
06:23.3,22.6,26.4,84
06:25.5,22.6,26.4,84
06:27.8,22.6,26.4,84
06:30.1,22.6,26.4,88
06:32.4,22.6,26.4,89
06:34.6,22.6,26.4,89
06:36.9,22.6,26.5,88
06:39.2,22.6,26.5,89
06:41.5,22.6,26.5,90
06:43.7,22.6,26.5,90
06:46.0,22.6,26.5,89
06:48.3,22.6,26.6,88
06:50.6,22.6,26.6,87
06:52.9,22.6,26.6,87
06:55.1,22.6,26.6,89
06:57.4,22.6,26.6,88
06:59.7,22.6,26.6,88
07:02.0,22.7,26.7,88
07:04.2,22.6,26.6,88
07:06.5,22.6,26.6,86
07:08.8,22.6,26.6,87
07:11.1,22.7,26.7,87
07:13.3,22.6,26.6,88
07:15.6,22.6,26.8,87
07:17.9,22.6,26.8,87
07:20.2,22.6,26.9,87
07:22.4,22.7,27.1,86
07:24.7,22.7,27.2,87
07:27.0,22.6,27.3,88
07:29.3,22.7,27.6,88
07:31.6,22.6,27.5,88
07:33.8,22.7,27.4,88
07:36.1,22.6,27.2,88
07:38.4,22.7,27.8,88
07:40.7,22.7,28.1,90
07:42.9,22.7,27.9,90
07:45.2,22.7,27.7,90
07:47.5,22.6,27.4,89
07:49.8,22.6,27.4,88
07:52.0,22.7,27.8,89
07:54.3,22.7,27.7,89
07:56.6,22.7,27.7,90
07:58.9,22.7,27.5,90
08:01.1,22.7,27.4,87
08:03.4,22.6,27.2,86
08:05.7,22.7,27.2,88
08:08.0,22.7,27.1,92
08:10.2,22.7,27,90
08:12.5,22.6,26.9,89
08:14.8,22.6,26.9,89
08:17.1,22.7,26.9,89
08:19.4,22.7,26.9,89
08:21.6,22.7,26.8,88
08:23.9,22.7,26.8,88
08:26.2,22.7,26.8,88
08:28.5,22.6,26.7,88
08:30.7,22.7,26.8,89
08:33.0,22.7,26.8,89
08:35.3,22.7,26.7,88
08:37.6,22.7,26.7,88
08:39.8,22.7,26.7,87
08:42.1,22.7,27.1,87
08:44.4,22.7,27.5,87
08:46.7,22.6,27.7,87
08:48.9,22.6,28.1,87
08:51.2,22.6,28.3,88
08:53.5,22.6,28.2,87
08:55.8,22.6,28.1,87
08:58.0,22.6,28.1,87
09:00.3,22.7,28.3,87
09:02.6,22.6,27.9,88
09:04.9,22.7,28.2,88
09:07.2,22.7,28.6,87
09:09.4,22.7,28.7,87
09:11.7,22.7,28.8,87
09:14.0,22.7,28.8,87
09:16.3,22.7,28.8,88
09:18.5,22.6,28.8,88
09:20.8,22.7,28.8,88
09:23.1,22.7,28.9,87
09:25.4,22.7,29,87
09:27.6,22.7,29,87
09:29.9,22.7,29,87
09:32.2,22.7,28.8,88
09:34.5,22.7,29.2,88
09:36.7,22.7,29,88
09:39.0,22.7,29,88
09:41.3,22.7,28.9,88
09:43.6,22.7,28.6,88
09:45.8,22.7,28.8,88
09:48.1,22.7,28.9,88
09:50.4,22.6,28.8,88
09:52.7,22.7,29.1,88
09:55.0,22.7,29.1,88
09:57.2,22.7,29,88
09:59.5,22.7,29,88
10:01.8,22.7,29,87
10:04.1,22.7,29.1,87
10:06.3,22.7,29,88
10:08.6,22.7,29,88
10:10.9,22.7,28.8,88
10:13.2,22.7,28.9,87
10:15.4,22.7,28.9,87
10:17.7,22.7,29,87
10:20.0,22.7,29,87
10:22.3,22.7,28.7,88
10:24.5,22.7,28.5,88
10:26.8,22.7,28.5,87
10:29.1,22.7,28.8,88
10:31.4,22.7,29,88
10:33.6,22.7,29.1,88
10:35.9,22.7,29,88
10:38.2,22.7,28.7,88
10:40.5,22.7,28.8,89
10:42.7,22.7,29.1,91
10:45.0,22.7,28.8,91
10:47.3,22.7,28.5,92
10:49.6,22.7,28.2,91
10:51.9,22.7,28,91
10:54.1,22.7,27.8,92
10:56.4,22.7,27.7,92
10:58.7,22.7,28.2,91
11:01.0,22.7,28.5,91
11:03.2,22.7,28.6,90
11:05.5,22.7,28.6,90
11:07.8,22.7,28.5,91
11:10.1,22.7,28.2,92
11:12.3,22.7,27.9,91
11:14.6,22.7,27.7,91
11:16.9,22.7,27.6,90
11:19.2,22.7,27.6,89
11:21.4,22.7,27.9,92
11:23.7,22.7,27.9,92
11:26.0,22.7,27.7,92
11:28.3,22.7,27.5,92
11:30.6,22.7,27.4,90
11:32.8,22.7,27.3,88
11:35.1,22.7,27.3,89
11:37.4,22.7,27.2,80
11:39.7,22.7,27.2,92
11:41.9,22.7,27.2,92
11:44.2,22.7,27.1,90
11:46.5,22.7,27.4,92
11:48.8,22.7,27.5,92
11:51.0,22.7,27.5,91
11:53.3,22.7,27.3,90
11:55.6,22.7,27.5,90
11:57.9,22.7,27.4,90
12:00.1,22.7,27.3,90
12:02.4,22.7,27.2,90
12:04.7,22.7,27.2,90
12:07.0,22.7,27.1,90
12:09.2,22.7,27.1,90
12:11.5,22.7,27,90
12:13.8,22.7,27,90
12:16.1,22.7,27,90
12:18.4,22.7,26.9,92
12:20.6,22.7,27,91
12:22.9,22.7,27,90
12:25.2,22.7,27,90
12:27.5,22.7,27,90
12:29.7,22.7,27,90
12:32.0,22.7,27,91
12:34.3,22.7,27.1,91
12:36.6,22.7,27.1,91
12:38.8,22.7,27.1,91
12:41.1,22.7,27.2,90
12:43.4,22.6,27.1,91
12:45.7,22.6,27.1,90
12:47.9,22.7,27.1,89
12:50.2,22.7,27.2,88
12:52.5,22.7,27.5,88
12:54.8,22.6,27.4,88
12:57.0,22.6,27.3,89
12:59.3,22.7,27.3,90
13:01.6,22.7,27.2,90
13:03.9,22.7,27.6,89
13:06.2,22.7,27.8,89
13:08.4,22.7,27.9,89
13:10.7,22.7,28.6,89
13:13.0,22.7,28.5,90
13:15.3,22.7,28.2,90
13:17.5,22.7,28,90
13:19.8,22.7,27.9,90
13:22.1,22.7,27.7,90
13:24.4,22.7,27.6,90
13:26.6,22.7,27.5,90
13:28.9,22.7,27.5,87
13:31.2,22.7,27.4,88
13:33.5,22.7,27.4,89
13:35.7,22.7,27.9,90
13:38.0,22.7,27.9,91
13:40.3,22.7,27.8,92
13:42.6,22.7,27.7,92
13:44.9,22.6,27.5,87
13:47.1,22.7,27.5,88
13:49.4,22.7,27.5,89
13:51.7,22.7,27.4,88
13:54.0,22.6,27.3,89
13:56.2,22.7,27.3,89
13:58.5,22.6,27.2,88
14:00.8,22.6,27.2,88
14:03.1,22.7,27.5,89
14:05.3,22.7,27.5,87
14:07.6,22.7,27.7,88
14:09.9,22.7,27.9,88
14:12.2,22.7,27.9,88
14:14.4,22.7,27.7,88
14:16.7,22.7,27.6,88
14:19.0,22.7,27.5,87
14:21.3,22.7,27.4,88
14:23.5,22.7,27.3,88
14:25.8,22.7,27.3,88
14:28.1,22.7,27.2,88
14:30.4,22.7,27.2,88
14:32.7,22.7,27.2,88
14:34.9,22.7,27.2,92
14:37.2,22.7,27.2,92
14:39.5,22.7,27.2,92
14:41.8,22.7,27.2,92
14:44.0,22.7,27.2,92
14:46.3,22.7,27.1,90
14:48.6,22.7,27.1,90
14:50.9,22.7,27.1,91
14:53.1,22.7,27.1,91
14:55.4,22.7,27.1,90
14:57.7,22.7,27.1,90
15:00.0,22.7,27.1,91
15:02.2,22.7,27.1,92
15:04.5,22.7,27.1,92
15:06.8,22.7,27.1,92
15:09.1,22.6,27,92
15:11.4,22.7,27.1,91
15:13.6,22.7,27.1,91
15:15.9,22.7,27.1,92
15:18.2,22.6,27,92
15:20.5,22.7,27.1,92
15:22.7,22.7,27.1,91
